state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls,churn
AR,110,area_code_408,False,False,0,55.3,102,164.7,124,200.7,108,10.2,5,1,False
WV,141,area_code_415,True,True,37,258.6,84,222.0,111,326.4,97,11.2,5,0,False
PA,122,area_code_415,True,False,0,230.9,132,243.2,99,182.4,57,11.0,2,0,True
ND,190,area_code_415,False,False,0,169.4,102,253.5,113,197.1,93,8.9,5,1,False
TN,68,area_code_415,False,False,0,178.7,61,252.3,84,255.7,76,8.4,4,1,False
VT,122,area_code_415,True,False,0,49.5,114,214.1,98,154.9,120,10.0,4,0,False
IA,45,area_code_415,False,False,0,211.3,87,165.7,97,265.9,72,13.3,6,1,False
AR,89,area_code_415,False,True,25,215.1,140,197.4,69,162.1,117,10.6,10,1,False
TN,130,area_code_408,False,False,0,127.0,102,206.9,107,231.7,99,6.1,6,0,False
KY,145,area_code_408,False,False,0,135.0,122,206.3,88,210.4,90,19.7,4,0,False
CT,184,area_code_510,True,False,0,213.8,105,159.6,84,139.2,137,5.0,10,2,False
SD,163,area_code_415,True,False,0,197.2,90,188.5,113,211.1,94,7.8,8,1,False
NH,88,area_code_415,False,False,0,202.2,86,216.8,93,239.4,99,11.8,2,2,False
UT,138,area_code_510,False,False,0,205.9,96,257.1,94,209.0,63,12.1,8,0,False
NH,125,area_code_415,True,False,0,298.4,78,270.5,142,107.3,84,12.2,2,0,True
VA,143,area_code_510,False,False,0,110.1,113,169.0,59,166.7,94,9.2,2,1,False
UT,67,area_code_510,False,True,20,230.6,40,189.1,58,162.2,115,9.4,2,1,False
WA,126,area_code_510,False,True,42,247.8,96,159.1,98,201.8,73,10.6,3,2,False
AK,41,area_code_415,False,False,0,159.3,66,125.9,75,261.9,76,11.1,5,1,False
AR,87,area_code_510,False,False,0,120.5,99,210.0,81,224.7,141,8.6,2,2,False
WI,54,area_code_415,False,False,0,116.8,119,123.1,123,217.5,101,12.0,2,1,False
NY,68,area_code_510,False,False,0,141.9,112,166.2,94,223.5,77,9.2,6,1,False
AL,141,area_code_510,False,True,28,308.0,123,247.8,128,152.9,103,7.4,3,1,False
WA,55,area_code_415,False,False,0,194.1,121,176.6,110,302.8,136,7.0,7,2,False
WI,93,area_code_415,False,False,0,152.1,141,215.5,107,262.4,111,12.0,7,1,False
NM,42,area_code_415,False,False,0,137.9,160,234.9,107,166.6,70,14.3,3,5,True
GA,63,area_code_408,False,False,0,204.0,119,161.7,90,202.6,113,9.4,4,3,False
MI,87,area_code_415,False,False,0,198.3,80,187.0,89,133.5,96,16.6,4,2,False
ID,42,area_code_415,False,False,0,92.2,108,211.2,120,129.1,73,13.1,6,1,False
WY,42,area_code_408,False,False,0,146.3,84,255.9,113,45.0,117,8.0,12,1,False
AL,82,area_code_408,False,False,0,154.0,107,94.4,114,287.6,95,10.1,7,1,False
UT,25,area_code_415,True,False,0,161.7,99,216.1,89,176.7,115,12.4,6,1,False
OR,12,area_code_415,False,False,0,204.6,98,212.5,90,182.1,95,9.8,7,2,False
WA,136,area_code_408,False,False,0,152.6,97,208.9,85,119.1,99,5.0,10,1,False
NC,88,area_code_408,False,True,27,93.4,106,252.0,92,189.0,104,10.9,1,1,False
AR,49,area_code_408,True,True,32,176.9,118,227.0,121,204.4,115,15.1,3,3,True
MT,97,area_code_415,False,True,15,117.6,97,196.3,126,157.4,113,6.4,3,1,False
FL,143,area_code_415,False,False,0,119.1,117,287.7,136,223.0,100,12.2,4,0,False
MN,49,area_code_415,False,False,0,171.5,86,188.8,85,155.1,82,8.5,2,2,False
RI,114,area_code_510,False,True,28,225.8,94,193.0,117,232.4,100,8.4,9,4,False
AR,95,area_code_415,False,False,0,69.4,79,190.8,109,219.9,102,8.9,5,0,False
UT,89,area_code_415,False,False,0,89.7,80,179.8,81,145.7,120,9.5,4,2,False
MT,100,area_code_415,False,False,0,113.3,96,197.9,89,284.5,93,11.7,2,4,True
IN,60,area_code_415,False,False,0,136.4,147,219.9,101,99.7,73,7.0,3,0,False
TN,140,area_code_415,False,False,0,125.3,84,167.6,121,260.6,94,8.4,4,1,False
MI,102,area_code_510,False,False,0,102.6,89,246.0,77,170.5,140,9.1,4,2,False
ID,108,area_code_415,False,False,0,221.8,105,108.2,107,207.1,87,12.1,3,2,False
WA,65,area_code_510,False,False,0,183.4,63,183.6,80,153.5,83,10.7,4,4,True
WV,154,area_code_408,False,True,35,64.9,76,184.1,91,151.6,75,14.6,1,1,False
NY,77,area_code_415,False,False,0,184.7,130,194.0,105,249.1,91,9.0,4,1,False
WV,143,area_code_510,False,False,0,202.8,109,165.8,104,143.9,71,4.6,4,1,False
MN,124,area_code_510,True,False,0,157.8,71,203.2,114,168.7,82,10.0,2,3,True
WA,81,area_code_415,False,False,0,183.6,116,152.6,98,212.2,99,12.2,6,3,False
AK,112,area_code_415,False,True,31,142.9,92,233.8,107,329.2,142,10.4,6,0,False
IL,55,area_code_415,False,False,0,203.7,80,230.2,112,120.3,48,9.4,1,3,False
AL,96,area_code_415,True,False,0,200.6,117,289.5,120,98.3,95,11.2,5,2,False
GA,27,area_code_415,False,True,32,190.3,97,279.0,77,133.8,117,8.4,3,2,False
RI,102,area_code_510,False,False,0,184.6,133,166.8,94,225.2,105,6.8,8,1,False
MO,85,area_code_510,False,False,0,165.8,96,190.0,141,144.0,116,10.9,3,5,True
IL,98,area_code_510,True,False,0,158.4,71,306.6,66,144.2,93,2.1,4,1,False
RI,125,area_code_408,False,False,0,113.0,108,169.2,107,156.6,61,9.2,5,2,True
CO,126,area_code_415,False,False,0,120.0,82,213.6,111,312.9,136,7.5,6,1,False
DE,114,area_code_415,False,True,31,222.8,98,180.5,105,151.3,101,13.0,4,0,False
PA,91,area_code_415,False,False,0,139.8,109,157.0,91,218.6,122,13.6,4,3,False
KY,7,area_code_510,False,True,33,211.8,99,170.9,110,244.2,125,11.2,4,2,False
MD,129,area_code_415,False,True,34,204.5,79,132.8,113,190.1,117,14.8,9,2,False
CO,119,area_code_408,False,False,0,124.3,68,207.1,88,157.4,93,14.8,1,0,False
