customer_id,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
932aff1e-186f-418c-8716-28bba167c384,NY,86,area_code_510,False,False,0,70.7,125,12.02,211.0,113,17.94,174.6,107,7.86,0.0,0,0.0,2,False
143a0b05-b95a-4d00-ad2a-9c1b18234c29,VT,165,area_code_510,False,False,0,242.9,126,41.29,209.8,65,17.83,228.4,126,10.28,0.0,0,0.0,1,False
45debf35-7e4d-42da-ba4e-d737a8997e16,KS,70,area_code_415,False,False,0,222.8,114,37.88,215.9,113,18.35,223.5,122,10.06,0.0,0,0.0,1,False
76b4b68f-1113-4411-88ad-de38b482e9fb,NM,158,area_code_408,False,False,0,172.4,114,29.31,256.6,69,21.81,235.3,104,10.59,0.0,0,0.0,2,False
6ee9cecd-1a09-4f4a-937e-aa848c392bed,ND,101,area_code_415,False,False,0,217.7,118,37.01,231.7,128,19.69,185.3,128,8.34,0.0,0,0.0,3,False
68dcc39a-cacf-45dc-8723-dce802a83c17,OH,114,area_code_415,False,False,0,191.5,88,32.56,175.2,78,14.89,220.3,118,9.91,0.0,0,0.0,0,False
5a43c3e1-adff-44a3-a2ca-6eb2ef664a78,SC,84,area_code_415,False,False,0,204.1,132,34.7,164.4,117,13.97,165.1,123,7.43,0.0,0,0.0,1,False
2272b974-f577-42ad-93c5-b43390a398d5,MN,44,area_code_408,False,False,0,207.2,90,35.22,178.6,76,15.18,182.0,74,8.19,0.0,0,0.0,0,False
3a62fe46-a794-4596-8ac5-e870ccf84878,VA,115,area_code_415,False,False,0,132.0,90,22.44,197.5,75,16.79,175.8,114,7.91,0.0,0,0.0,3,False
eea79eb1-6508-4103-8e68-88e73e558661,MS,78,area_code_510,False,False,0,131.6,102,22.37,290.4,134,24.68,190.5,95,8.57,0.0,0,0.0,3,False
fbbd3ce1-b4ee-4459-b4eb-576a65b06cc1,KS,70,area_code_408,False,False,0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0.0,0,0.0,3,False
87e21d3a-5445-4891-bdac-21a32afd1186,MA,58,area_code_408,False,False,0,174.4,112,29.65,265.8,122,22.59,182.4,87,8.21,0.0,0,0.0,4,False
199827e2-af95-4856-acc3-5bd7d96f02e9,VT,137,area_code_510,False,False,0,97.5,95,16.58,195.8,82,16.64,288.8,78,13.0,0.0,0,0.0,1,False
5c343cdc-df1a-435e-b006-e4a53d34858c,FL,98,area_code_408,False,False,0,288.1,101,48.98,137.9,93,11.72,206.5,88,9.29,0.0,0,0.0,0,False
c93537ea-9eb4-4627-b1f6-2d704ec4da3c,CA,127,area_code_510,False,False,0,107.9,128,18.34,187.0,77,15.9,218.5,95,9.83,0.0,0,0.0,0,False
13a44f91-87aa-4956-a176-d6c5acf1b770,NY,138,area_code_415,True,False,0,261.1,96,44.39,170.9,120,14.53,71.1,89,3.2,0.0,0,0.0,3,True
2df27dc6-6b12-4913-a65c-66cb931e4df4,WI,62,area_code_415,False,False,0,281.0,66,47.77,160.6,108,13.65,77.9,74,3.51,0.0,0,0.0,1,False
590ce2c0-31a4-4154-a8db-e00b4b7d9424,MO,106,area_code_415,False,False,0,114.4,104,19.45,78.3,101,6.66,232.7,78,10.47,0.0,0,0.0,2,False
a2f4e36e-8e48-4af6-8f33-12be6e829e0e,AL,74,area_code_415,False,False,0,207.1,79,35.21,182.0,100,15.47,233.7,73,10.52,7.4,8,2.0,1,False
a6765fcd-3186-4bec-b0d7-6c69219c5b64,NE,127,area_code_510,True,False,0,180.9,114,30.75,209.5,118,17.81,249.9,105,11.25,7.4,4,2.0,2,False
d4c7ce30-b161-4c4c-9f64-1cfb6da712db,AL,26,area_code_408,False,False,0,290.1,143,49.32,245.7,97,20.88,147.0,80,6.61,7.4,4,2.0,2,True
