iter	Passed	Remaining
0	146	139944
1	150	71787
2	153	49037
3	158	37800
4	161	30869
5	165	26207
6	168	22891
7	172	20525
8	175	18520
9	178	16916
10	181	15621
11	183	14520
12	188	13695
13	191	12924
14	194	12236
15	197	11652
16	200	11122
17	205	10732
18	208	10306
19	211	9907
20	214	9587
21	218	9310
22	221	9019
23	224	8743
24	228	8519
25	230	8286
26	234	8103
27	237	7896
28	239	7693
29	242	7510
30	245	7338
31	247	7173
32	251	7046
33	254	6917
34	256	6779
35	259	6658
36	262	6547
37	266	6454
38	269	6346
39	271	6245
40	274	6145
41	277	6050
42	280	5968
43	285	5940
44	288	5861
45	291	5783
46	294	5711
47	297	5642
48	301	5595
49	304	5528
50	306	5460
51	309	5401
52	312	5342
53	315	5293
54	318	5240
55	321	5188
56	324	5138
57	327	5085
58	332	5064
59	334	5019
60	337	4972
61	340	4931
62	343	4889
63	348	4877
64	351	4838
65	354	4799
66	357	4762
67	360	4728
68	364	4702
69	367	4670
70	370	4637
71	373	4601
72	376	4569
73	380	4549
74	383	4517
75	385	4484
76	389	4455
77	392	4432
78	396	4420
79	400	4395
80	402	4366
81	405	4338
82	409	4318
83	412	4298
84	415	4274
85	418	4246
86	420	4219
87	424	4201
88	429	4196
89	432	4176
90	435	4155
91	438	4134
92	443	4130
93	446	4112
94	450	4101
95	458	4123
96	461	4104
97	464	4083
98	467	4060
99	470	4041
100	475	4037
101	478	4022
102	481	4002
103	485	3988
104	492	4004
105	497	4004
106	503	4007
107	509	4013
108	512	3999
109	516	3988
110	523	4000
111	527	3985
112	529	3967
113	532	3948
114	539	3959
115	543	3946
116	553	3983
117	557	3974
118	561	3960
119	564	3947
120	567	3929
121	571	3920
122	574	3904
123	577	3890
124	580	3875
125	585	3870
126	589	3864
127	593	3850
128	596	3835
129	599	3821
130	602	3811
131	605	3796
132	608	3781
133	611	3765
134	614	3752
135	619	3748
136	622	3736
137	625	3721
138	628	3706
139	630	3690
140	635	3685
141	638	3671
142	641	3663
143	645	3653
144	650	3652
145	653	3640
146	657	3629
147	659	3616
148	662	3603
149	668	3608
150	671	3595
151	674	3582
152	677	3569
153	681	3561
154	685	3553
155	688	3543
156	691	3532
157	694	3520
158	698	3516
159	701	3505
160	704	3493
161	707	3482
162	711	3473
163	716	3471
164	719	3460
165	722	3449
166	724	3438
167	728	3431
168	732	3422
169	734	3411
170	738	3401
171	741	3391
172	745	3388
173	748	3378
174	751	3368
175	754	3358
176	759	3357
177	765	3356
178	768	3347
179	771	3338
